,CXID,DBID,\(T_0\),\(T_1\),\(T_2\),\(T_{2 \frac{1}{2}}\),Regular,Completely Regular,Normal,Completely Normal,Urysohn,Semiregular,\(T_3\),\(T_{3 \frac{1}{2}}\),\(T_4\),\(T_5\),Perfectly Normal,Compact,\(\sigma\)-compact,Lindelof,Countably Compact,Sequentially Compact,Weakly Countably Compact,Pseudocompact,Locally Compact,Strongly Locally Compact,\(\sigma\)-Locally Compact,Separable,Second Countable,First Countable,Countable Chain Condition,Paracompact,Metacompact,Countably Paracompact,Countably Metacompact,Fully \(T_4\),Fully Normal,Connected,Path Connected,Arc Connected,Hyperconnected,Ultraconnected,Locally Connected,Locally Path Connected,Locally Arc Connected,Biconnected,Has Dispersion Point,Totally Path Disconnected,Totally Disconnected,Totally Separated,Extremally Disconnected,Zero Dimensional,Scattered,Discrete,Metrizable,\(\sigma\)-Locally Finite Base,Topologically Complete,Second Category,Countable,Cardinality < \(\mathfrak(c)\),Cardinality \(\leq 2^{\mathfrak(c)}\),Strongly Connected
Arens-Fort Space,26,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,na,1,1,1,1,0
Modified Fort Space,27,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,na,1,0,na,na,0
Euclidean Topology,28,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
The Cantor Set,29,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0
The Rational Numbers,30,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0
The Irrational Numbers,31,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0
Special Subsets of the Real Line,32,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Subsets of the Plane,33,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Point Compactification Topology,34,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Point Compactification of the Rationals,35,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,na,0,1,1,1,1
Hilbert Space,36,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Frechet Space,37,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilbert Cube,38,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Order Topology,39,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
