,CXID,DBID,\(T_0\),\(T_1\),\(T_2\),\(T_{2 \frac{1}{2}}\),Regular,Completely Regular,Normal,Completely Normal,Urysohn,Semiregular,\(T_3\),\(T_{3 \frac{1}{2}}\),\(T_4\),\(T_5\),Perfectly Normal,Compact,\(\sigma\)-compact,Lindelof,Countably Compact,Sequentially Compact,Weakly Countably Compact,Pseudocompact,Locally Compact,Strongly Locally Compact,\(\sigma\)-Locally Compact,Separable,Second Countable,First Countable,Countable Chain Condition,Paracompact,Metacompact,Countably Paracompact,Countably Metacompact,Fully \(T_4\),Fully Normal,Connected,Path Connected,Arc Connected,Hyperconnected,Ultraconnected,Locally Connected,Locally Path Connected,Locally Arc Connected,Biconnected,Has Dispersion Point,Totally Path Disconnected,Totally Disconnected,Totally Separated,Extremally Disconnected,Zero Dimensional,Scattered,Discrete,Metrizable,\(\sigma\)-Locally Finite Base,Topologically Complete,Second Category,Countable,Cardinality < \(\mathfrak(c)\),Cardinality \(\leq 2^{\mathfrak(c)}\),Strongly Connected
Irregular Lattice Topology,79,71,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,na,1,1,1,1,0
Arens Square,80,72,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,na,0,1,1,1,0
Simplified Arens Square,81,73,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,na,1,0,0,1,0
Niemytzki's Tangent Disc Topology,82,74,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,na,1,0,0,1,0
Metrizable Tangent Disc Topology,83,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,,1,0,0,1,0
Sorgenfrey's Half-Open Square Topology,84,76,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,na,,0,0,1,0
Michael's Product Topology,85,77,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,na,1,0,0,1,0
Tychonoff Plank,86,78,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,na,1,0,na,1,0
Deleted Tychonoff Plank,87,79,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,na,1,0,na,1,0
Alexandroff Plank,88,81,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0
Dieudonne Plank,89,87,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,na,1,0,na,1,0
Tychonoff Corkscrew,90,88,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,na,1,0,na,1,0
Deleted Tychonoff Corkscrew,91,89,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,na,,0,na,1,0
Hewitt's Condensed Corkscrew,92,90,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,1,0,0,0,,0,,,0,,,,0,0,1,,,0,0,,,,,,,0,0,0,0,0,0,0,0,na,,0,na,1,1
Thomas' Plank,93,91,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,na,1,0,0,1,0
Thomas' Corkscrew,94,92,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,na,1,0,0,1,0
Weak Parallel Line Topology,95,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,na,1,0,0,1,0
Strong Parallel Line Topology,96,94,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,na,,0,0,1,0
Concentric Circles,97,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,1,0,0,1,0
Appert Space,98,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,na,1,1,1,1,0
Maximal Compact Topology,99,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,na,1,1,1,1,0
Minimal Hausdorff Topology,100,98,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,0,0,1,na,1,1,1,1,0
Alexandroff Square,101,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,1,0,0,1,0
\(\mathbb{Z}^{\mathbb{Z}}\),102,100,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0
Uncountable Products of \(\mathbb{Z}^+\),103,101,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,0,0,0,0,na,,0,,,0
Baire Product Metric on \(\mathbb{R}^{\omega}\),104,102,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0
\(I^I\),105,103,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,na,1,0,0,1,0
"\([0,\Omega) \times I^I\)",106,104,1,1,1,1,1,1,,0,1,1,1,1,,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,1,0,0,1,0
Helly Space,107,105,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,na,1,0,0,1,0
"\(C[0,1]\)",108,106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,1,1,1,,,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Boolean Product Topology on \(\mathbb{R}^{\omega}\),109,107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,,,,1,,,0,0,,,,,,,0,0,0,0,0,0,0,0,na,,0,0,1,0
Stone-Cech Compactification,110,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone-Cech Compactification of the Integers,111,108,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,na,1,0,0,1,0
Novak Space,112,109,1,1,1,1,1,1,,,1,1,1,1,,,,0,0,0,1,,1,1,,,0,1,0,,1,,0,1,1,0,0,,,,0,0,,,,,,,,,,,,0,0,0,na,1,0,,1,0
Strong Ultrafilter Topology,113,110,1,1,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,,na,,0,,1,0
Single Ultrafilter Topology,114,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,na,1,1,1,1,0
Nested Rectangles,115,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Topologist's Sine Curve,116,113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,0,0,1,0
Closed Topologist's Sine Curve,117,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Extended Topologist's Sine Curve,118,115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
The Infinite Broom,119,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,0,0,1,0
The Closed Infinite Broom,120,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
The Integer Broom,121,118,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,1,1,1,,,1,,1,1,1,0,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,na,0,1,1,1,1
Nested Angles,122,119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
The Infinite Cage,123,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,0,0,1,0
Bernstein's Connected Sets,124,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustin's Sequence Space,125,122,1,1,1,,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,,,1,,,0,,0,0,1,0,0,0,0,,0,0,,,1,0,0,0,0,0,0,0,,na,,1,1,1,1
Roy's Lattice Space,126,123,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,,,0,,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,na,0,1,1,1,1
Roy's Lattice Subspace,127,124,1,1,1,1,0,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,1,1,1,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,na,0,1,1,1,0
Cantor's Leaky Tent,128,125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,0,0,0,0,,,,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,1,1,,,0,0,1,0
Cantor's Teepee,129,126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,0,0,0,0,,,,1,1,1,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,,,0,0,1,0
A Pseudo-Arc,130,127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,,0,0,,,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Miller's Biconnected Set,131,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheel without Its Hub,132,129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,1,1,1,1,,,1,1,1,1,1,,,0,0,,,,1,0,,0,0,0,0,0,0,1,1,,,0,0,1,0
Tangora's Connected Space,133,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Bounded Metrics,134,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierpinski's Metric Space,135,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Duncan's Space,136,132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,1,1,,,0,0,1,0
Cauchy Completion,137,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hausdorff's Metric Topology,138,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Post Office Metric,139,133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
The Radial Metric,140,134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Radial Interval Topology,141,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,na,1,0,0,1,0
Bing's Discrete Extension Space,142,136,1,1,1,1,1,1,1,,1,1,1,1,1,,,0,0,0,,,,,,,0,,0,,,0,,,,0,0,,,,0,0,,,,,,,,,,,,,0,0,na,1,0,0,0,0
Michael's Closed Subspace,143,137,1,1,1,1,1,1,1,,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,,,0,,1,1,0,0,,,,0,0,,,,,,,,,,,,,0,0,na,,0,0,0,0
